chunk_id,doc_id,country,reason
India_National_AI_Strategy_2021_chunk_82,India_National_AI_Strategy_2021,India,avg_word_len=1.57 (<2.5)
India_National_AI_Strategy_2021_chunk_84,India_National_AI_Strategy_2021,India,avg_word_len=2.10 (<2.5)
India_National_AI_Strategy_2021_chunk_89,India_National_AI_Strategy_2021,India,avg_word_len=1.39 (<2.5)
Australia_AI_Ethics_Framework_2019_chunk_10,Australia_AI_Ethics_Framework_2019,Australia,non_alpha_ratio=0.58
Kenya_National_AI_Strategy_Draft_2025_chunk_0,Kenya_National_AI_Strategy_Draft_2025,Kenya,non_alpha_ratio=0.51
Kenya_National_AI_Strategy_Draft_2025_chunk_1,Kenya_National_AI_Strategy_Draft_2025,Kenya,non_alpha_ratio=0.44
Kenya_National_AI_Strategy_Draft_2025_chunk_2,Kenya_National_AI_Strategy_Draft_2025,Kenya,utf8_replacement_chars
Kenya_National_AI_Strategy_Draft_2025_chunk_46,Kenya_National_AI_Strategy_Draft_2025,Kenya,reversed_text_score=0.45
Kenya_National_AI_Strategy_Draft_2025_chunk_47,Kenya_National_AI_Strategy_Draft_2025,Kenya,reversed_text_score=0.52
Kenya_National_AI_Strategy_Draft_2025_chunk_48,Kenya_National_AI_Strategy_Draft_2025,Kenya,reversed_text_score=0.62
Kenya_National_AI_Strategy_Draft_2025_chunk_49,Kenya_National_AI_Strategy_Draft_2025,Kenya,reversed_text_score=0.57
Kenya_National_AI_Strategy_Draft_2025_chunk_50,Kenya_National_AI_Strategy_Draft_2025,Kenya,reversed_text_score=0.65
Kenya_National_AI_Strategy_Draft_2025_chunk_51,Kenya_National_AI_Strategy_Draft_2025,Kenya,reversed_text_score=0.64
Egypt_National_AI_Strategy_2021_chunk_10,Egypt_National_AI_Strategy_2021,Egypt,non_alpha_ratio=0.27
Egypt_National_AI_Strategy_2021_chunk_52,Egypt_National_AI_Strategy_2021,Egypt,non_alpha_ratio=0.24
SouthAfrica_National_AI_Policy_Framework_2023_chunk_0,SouthAfrica_National_AI_Policy_Framework_2023,South Africa,non_alpha_ratio=0.46
AfricanUnion_Continental_AI_Strategy_2024_chunk_5,AfricanUnion_Continental_AI_Strategy_2024,African Union,non_alpha_ratio=0.60
AfricanUnion_Continental_AI_Strategy_2024_chunk_6,AfricanUnion_Continental_AI_Strategy_2024,African Union,non_alpha_ratio=0.30
ASEAN_Expanded_Guide_AI_Governance_GenAI_2025_chunk_0,ASEAN_Expanded_Guide_AI_Governance_GenAI_2025,ASEAN,al_as_ai_ratio=0.05
ASEAN_Expanded_Guide_AI_Governance_GenAI_2025_chunk_2,ASEAN_Expanded_Guide_AI_Governance_GenAI_2025,ASEAN,al_as_ai_ratio=0.05
ASEAN_Expanded_Guide_AI_Governance_GenAI_2025_chunk_3,ASEAN_Expanded_Guide_AI_Governance_GenAI_2025,ASEAN,al_as_ai_ratio=0.04
ASEAN_Expanded_Guide_AI_Governance_GenAI_2025_chunk_5,ASEAN_Expanded_Guide_AI_Governance_GenAI_2025,ASEAN,al_as_ai_ratio=0.04
ASEAN_Expanded_Guide_AI_Governance_GenAI_2025_chunk_8,ASEAN_Expanded_Guide_AI_Governance_GenAI_2025,ASEAN,al_as_ai_ratio=0.05
ASEAN_Expanded_Guide_AI_Governance_GenAI_2025_chunk_31,ASEAN_Expanded_Guide_AI_Governance_GenAI_2025,ASEAN,al_as_ai_ratio=0.05
