scopus_id,topic_id,topic_words,region,period,country,coverDate
2-s2.0-85122759724,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85122629966,2,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85122625012,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85122537958,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Latin America,pre_chatgpt,Unknown,Unknown
2-s2.0-85122527128,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85122507826,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85122503500,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85122267735,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85122238687,-1,,North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85122178923,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85122062775,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85122061406,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85122039774,21,"trust, trustworthiness, human, user, fear, trustworthy, perceived, intelligence, technology, artificial intelligence",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85122030633,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85122021975,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85122021724,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85122019990,5,"speech, hearing, language, voice, recognition, sound, child, acoustic, feature, sign language",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85122019812,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85122019335,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85122019126,-1,,North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85122016448,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85122008092,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85122001618,1,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85122001504,1,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121999581,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121990508,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121734898,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121686847,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121679470,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121673478,-1,,North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121667088,-1,,North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121627453,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121588348,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121586474,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121585150,-1,,North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121582709,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121546283,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121538657,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121530173,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121525043,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121516552,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121509183,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121508934,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121486671,-1,,North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121470446,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121462697,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121462689,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121461448,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121459029,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121452163,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121435760,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121426070,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121399133,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121393899,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121385488,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121374297,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121364160,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121363038,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121297946,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121286961,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121267850,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121257834,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121254472,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121227910,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Latin America,pre_chatgpt,Unknown,Unknown
2-s2.0-85121099180,5,"speech, hearing, language, voice, recognition, sound, child, acoustic, feature, sign language",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121055366,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121045368,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121042913,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121035802,39,"drug, solvent, inf, sup, formulation, pharmaceutical, regression, temperature, inf inf, sup sup",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85121025138,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121003652,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85121002159,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120992770,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120987613,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120973383,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120967046,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Latin America,pre_chatgpt,Unknown,Unknown
2-s2.0-85120948822,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120946149,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120945045,1,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120941189,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120935700,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120935477,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120933426,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120932547,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120919552,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85120917961,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120912293,-1,,Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85120906422,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120898212,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120893150,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85120888029,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85120864133,-1,,Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85120854632,1,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120846970,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120818400,-1,,North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85120801884,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120782144,-1,,Latin America,pre_chatgpt,Unknown,Unknown
2-s2.0-85120773277,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85120737882,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120732435,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120681117,43,"network, sensor, edge, iot, node, wireless, wireless sensor, computing, device, latency",Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85120609557,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120584644,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120502791,-1,,North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85120419724,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120417567,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120383041,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85120333350,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120309776,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85120166219,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85120158151,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85120072941,28,"sex, age, dental, forensic, skeletal, estimation, image, age estimation, teeth, accuracy",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85120047021,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119983853,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119977048,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119974107,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85119966676,11,"price, housing, estate, real estate, valuation, real, property, market, house, appraisal",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119881437,-1,,Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85119879998,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85119871079,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119867126,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119854381,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119849854,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85119847007,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Latin America,pre_chatgpt,Unknown,Unknown
2-s2.0-85119841842,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119675901,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119663935,6,"sport, player, game, football, team, performance, training, match, physical, injury",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119511452,-1,,Latin America,pre_chatgpt,Unknown,Unknown
2-s2.0-85119473963,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119381211,-1,,Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85119365336,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119328959,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119292376,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119286162,22,"poverty, household, conflict, income, migration, estimate, machine learning, machine, wealth, satellite",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119273296,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119202363,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119137874,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119115220,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119086442,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119056125,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119048332,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85119047781,-1,,Latin America,pre_chatgpt,Unknown,Unknown
2-s2.0-85119043576,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85119011871,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85119007473,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85118995726,12,"image, video, recognition, object, face, network, deep, feature, learning, neural",Other / Unclassified,pre_chatgpt,Unknown,Unknown
2-s2.0-85118867710,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85118688706,-1,,Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85118683999,4,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85118670674,-1,,Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85118656869,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85118645830,38,"malaria, disease, outbreak, vector, parasite, public health, machine, specie, control, health",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85118634011,1,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding",Africa & Middle East,pre_chatgpt,Unknown,Unknown
2-s2.0-85118608412,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85118601395,2,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id",Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85118581122,1,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85118574467,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85118557335,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85118551065,-1,,North America,pre_chatgpt,Unknown,Unknown
2-s2.0-85118472514,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm",Europe,pre_chatgpt,Unknown,Unknown
2-s2.0-85118458334,-1,,Asia-Pacific,pre_chatgpt,Unknown,Unknown
2-s2.0-85118453666,38,"malaria, disease, outbreak, vector, parasite, public health, machine, specie, control, health",Europe,pre_chatgpt,Unknown,Unknown
