period,topic_id,count,total,proportion,topic_words
pre_chatgpt,15,36,8088,0.0045,"crime, violence, police, offender, sexual, abuse, criminal, predictive, prediction, risk"
pre_chatgpt,16,44,8088,0.0054,"text, language, document, word, corpus, classification, semantic, processing, arabic, news"
pre_chatgpt,17,28,8088,0.0035,"religious, islamic, religion, spiritual, intelligence, human, artificial intelligence, artificial, ethical, technology"
pre_chatgpt,18,17,8088,0.0021,"entrepreneurial, entrepreneurship, entrepreneur, intention, business, ecosystem, digital, innovation, social, student"
pre_chatgpt,19,15,8088,0.0019,"price, market, return, investor, volatility, asset, trading, lstm, forecasting, investment"
pre_chatgpt,20,33,8088,0.0041,"eeg, seizure, signal, eeg signal, brain, feature, epilepsy, classification, accuracy, electroencephalography"
pre_chatgpt,21,12,8088,0.0015,"trust, trustworthiness, human, user, fear, trustworthy, perceived, intelligence, technology, artificial intelligence"
pre_chatgpt,22,25,8088,0.0031,"poverty, household, conflict, income, migration, estimate, machine learning, machine, wealth, satellite"
pre_chatgpt,23,38,8088,0.0047,"sequence, bacterial, antibiotic, ca, dna, genome, resistance, gene, protein, bacteria"
pre_chatgpt,24,22,8088,0.0027,"fake, news, fake news, social, social medium, twitter, medium, bot, tweet, user"
pre_chatgpt,25,36,8088,0.0045,"cell, microscopy, image, tissue, imaging, cellular, raman, phenotype, morphology, single"
pre_chatgpt,26,23,8088,0.0028,"quantum, quantum computing, classical, computing, machine, learning, machine learning, entanglement, computer, algorithm"
pre_chatgpt,27,8,8088,0.001,"ghz, band, channel, design, frequency, gain, bandwidth, wireless, communication, simulation"
pre_chatgpt,28,11,8088,0.0014,"sex, age, dental, forensic, skeletal, estimation, image, age estimation, teeth, accuracy"
pre_chatgpt,29,16,8088,0.002,"sleep, sleep quality, anxiety, wake, patient, symptom, disorder, stage, disturbance, quality"
pre_chatgpt,30,9,8088,0.0011,"translation, translator, language, machine translation, arabic, translate, text, english, google translate, literary"
pre_chatgpt,31,13,8088,0.0016,"fairness, bias, fair, algorithmic, discrimination, decision, metric, algorithm, unfair, perception"
pre_chatgpt,32,13,8088,0.0016,"blockchain, blockchain technology, technology, chain, accounting, supply chain, decentralized, secure, supply, artificial intelligence"
pre_chatgpt,33,10,8088,0.0012,"customer, chatbots, assistant, user, chatbot, voice, consumer, satisfaction, service, intention"
pre_chatgpt,34,18,8088,0.0022,"military, weapon, war, autonomous, international, warfare, autonomous weapon, state, intelligence, security"
pre_chatgpt,35,12,8088,0.0015,"gender, bias, stereotype, woman, gender bias, female, gendered, male, representation, artificial"
pre_chatgpt,36,15,8088,0.0019,"personality, trait, personality trait, psychological, social, machine learning, machine, agreeableness, conscientiousness, social medium"
pre_chatgpt,37,15,8088,0.0019,"causal, effect, treatment effect, treatment, estimator, inference, estimate, causal inference, estimation, machine learning"
pre_chatgpt,38,16,8088,0.002,"malaria, disease, outbreak, vector, parasite, public health, machine, specie, control, health"
pre_chatgpt,39,4,8088,0.0005,"drug, solvent, inf, sup, formulation, pharmaceutical, regression, temperature, inf inf, sup sup"
pre_chatgpt,40,8,8088,0.001,"dental, dentistry, student, education, clinical, diagnostic, oral, intelligence, artificial intelligence, group"
pre_chatgpt,41,17,8088,0.0021,"patent, technology, convergence, technological, trademark, promising technology, promising, search, firm, citation"
pre_chatgpt,42,6,8088,0.0007,"disability, disabled, people, student disability, education, special, student, inclusive, accessibility, teacher"
pre_chatgpt,43,15,8088,0.0019,"network, sensor, edge, iot, node, wireless, wireless sensor, computing, device, latency"
pre_chatgpt,44,13,8088,0.0016,"optical, design, sensor, sup, modulation, device, fiber, graphene, refractive, refractive index"
pre_chatgpt,45,19,8088,0.0023,"tumor, brain, mri, image, imaging, segmentation, feature, resonance, magnetic resonance, classification"
