doc_id,country,region,doc_type,topic_id_finetuned,chunk_count,total_chunks,proportion,topic_label_finetuned
Japan_AI_Strategy_2022,Japan,Asia-Pacific,National Strategy,148,16,16,1.0,Smart City & Urban AI Governance
Kenya_National_AI_Strategy_Draft_2025,Kenya,Africa & Middle East,National Strategy,135,33,34,0.9706,EU AI Regulation & Regulatory Frameworks
Kenya_National_AI_Strategy_Draft_2025,Kenya,Africa & Middle East,National Strategy,25,1,34,0.0294,AI in Cell Biology & Microscopy
Nigeria_National_AI_Strategy_2024,Nigeria,Africa & Middle East,National Strategy,103,27,27,1.0,"AI Law, Ethics & Human Rights"
OECD_AI_Principles_2023,OECD,International,International Principles,103,6,6,1.0,"AI Law, Ethics & Human Rights"
Rwanda_National_AI_Policy_2023,Rwanda,Africa & Middle East,National Strategy,168,7,7,1.0,Digital Transformation & AI Adoption
Singapore_Model_AI_Governance_Framework_2020,Singapore,Asia-Pacific,Framework,135,20,20,1.0,EU AI Regulation & Regulatory Frameworks
Singapore_Model_AI_Governance_GenAI_2024,Singapore,Asia-Pacific,Framework,129,11,12,0.9167,AI in Public Administration & Governance
Singapore_Model_AI_Governance_GenAI_2024,Singapore,Asia-Pacific,Framework,2,1,12,0.0833,AI Cybersecurity & IoT Threats
SouthAfrica_National_AI_Policy_Framework_2023,South Africa,Africa & Middle East,Policy Framework,135,5,5,1.0,EU AI Regulation & Regulatory Frameworks
SouthKorea_AI_Basic_Act_2025,South Korea,Asia-Pacific,National Law,103,9,9,1.0,"AI Law, Ethics & Human Rights"
UAE_National_AI_Strategy_2031,UAE,Africa & Middle East,National Strategy,135,13,13,1.0,EU AI Regulation & Regulatory Frameworks
UNESCO_Recommendation_Ethics_AI_2021,UNESCO,International,International Recommendation,103,17,18,0.9444,"AI Law, Ethics & Human Rights"
UNESCO_Recommendation_Ethics_AI_2021,UNESCO,International,International Recommendation,9,1,18,0.0556,AI in Academic Libraries
UK_AI_Opportunities_Action_Plan_2025,United Kingdom,Europe,Action Plan,135,11,11,1.0,EU AI Regulation & Regulatory Frameworks
UK_National_AI_Strategy_2021,United Kingdom,Europe,National Strategy,129,11,11,1.0,AI in Public Administration & Governance
USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,135,32,33,0.9697,EU AI Regulation & Regulatory Frameworks
USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,103,16,16,1.0,"AI Law, Ethics & Human Rights"
USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,103,12,12,1.0,"AI Law, Ethics & Human Rights"
USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2,1,33,0.0303,AI Cybersecurity & IoT Threats
Zimbabwe_National_AI_Strategy,Zimbabwe,Africa & Middle East,National Strategy,135,30,30,1.0,EU AI Regulation & Regulatory Frameworks
