scopus_id,topic_id_finetuned,topic_label_finetuned,governance_score,region,period,cover_date,country
2-s2.0-85122967675,8,"AI, Journalism & Media",0.7,Europe,pre_chatgpt,2021-10-07,Spain
2-s2.0-85107502400,15,Predictive Policing & Criminal Justice AI,0.8,Asia-Pacific,pre_chatgpt,2021-10-05,Australia
2-s2.0-85123930569,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-10-01,United States
2-s2.0-85118314415,2,AI Cybersecurity & IoT Threats,0.9,Africa & Middle East,pre_chatgpt,2021-10-01,Ghana
2-s2.0-85116501652,148,Smart City & Urban AI Governance,0.7,Asia-Pacific,pre_chatgpt,2021-10-01,China
2-s2.0-85109441514,35,Gender Bias & AI Representation,0.9,Europe,pre_chatgpt,2021-10-01,Spain
2-s2.0-85107900820,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-10-01,China
2-s2.0-85107422460,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-10-01,United Kingdom
2-s2.0-85105582212,177,Explainable AI & Transparency,0.8,Asia-Pacific,pre_chatgpt,2021-10-01,Australia
2-s2.0-85061537187,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-09-13,Taiwan
2-s2.0-85120603756,31,Algorithmic Fairness & Bias,1.0,North America,pre_chatgpt,2021-09-01,United States
2-s2.0-85118368968,168,Digital Transformation & AI Adoption,0.55,Europe,pre_chatgpt,2021-09-01,Spain
2-s2.0-85114045670,24,"AI, Fake News & Disinformation",0.8,Asia-Pacific,pre_chatgpt,2021-09-01,India
2-s2.0-85111453422,168,Digital Transformation & AI Adoption,0.55,Europe,pre_chatgpt,2021-09-01,Germany
2-s2.0-85107665659,31,Algorithmic Fairness & Bias,1.0,Europe,pre_chatgpt,2021-09-01,France
2-s2.0-85104116727,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-09-01,United States
2-s2.0-85098526504,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-09-01,Belgium
2-s2.0-85096373368,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-09-01,India
2-s2.0-85086394926,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-09-01,China
2-s2.0-85113825616,103,"AI Law, Ethics & Human Rights",0.95,Other / Unclassified,pre_chatgpt,2021-08-20,Unknown
2-s2.0-85118940071,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-08-09,Poland
2-s2.0-85112466941,148,Smart City & Urban AI Governance,0.7,Africa & Middle East,pre_chatgpt,2021-08-02,Saudi Arabia
2-s2.0-85110647716,129,AI in Public Administration & Governance,0.9,Asia-Pacific,pre_chatgpt,2021-08-01,China
2-s2.0-85109577782,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-08-01,United States
2-s2.0-85108623587,124,AI Research Landscape (Bibliometrics),0.5,Africa & Middle East,pre_chatgpt,2021-08-01,Saudi Arabia
2-s2.0-85105714871,124,AI Research Landscape (Bibliometrics),0.5,Europe,pre_chatgpt,2021-08-01,Germany
2-s2.0-85104573701,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-08-01,Australia
2-s2.0-85089499201,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-08-01,Australia
2-s2.0-85111219653,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-07-01,Netherlands
2-s2.0-85111016287,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-07-01,Austria
2-s2.0-85108369717,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-07-01,United States
2-s2.0-85107753793,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-07-01,United Kingdom
2-s2.0-85107178073,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-07-01,Spain
2-s2.0-85106506084,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-07-01,Netherlands
2-s2.0-85106227550,124,AI Research Landscape (Bibliometrics),0.5,Europe,pre_chatgpt,2021-07-01,Germany
2-s2.0-85103086959,129,AI in Public Administration & Governance,0.9,North America,pre_chatgpt,2021-07-01,United States
2-s2.0-85102730972,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-07-01,United Kingdom
2-s2.0-85101531468,177,Explainable AI & Transparency,0.8,Europe,pre_chatgpt,2021-07-01,Germany
2-s2.0-85104109212,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-06-21,Australia
2-s2.0-85110510100,114,Generative AI & Creative Ethics,0.65,North America,pre_chatgpt,2021-06-02,Canada
2-s2.0-85160958261,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-06-01,United States
2-s2.0-85128996474,148,Smart City & Urban AI Governance,0.7,Asia-Pacific,pre_chatgpt,2021-06-01,Thailand
2-s2.0-85112636546,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-06-01,Australia
2-s2.0-85107978138,17,AI Ethics from Islamic/Religious Perspective,0.5,North America,pre_chatgpt,2021-06-01,United States
2-s2.0-85107382326,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-06-01,Spain
2-s2.0-85106483866,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-06-01,Czechia
2-s2.0-85101991420,2,AI Cybersecurity & IoT Threats,0.9,North America,pre_chatgpt,2021-06-01,United States
2-s2.0-85101242941,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-06-01,Netherlands
2-s2.0-85100650454,151,AI Governance during COVID-19,0.6,Europe,pre_chatgpt,2021-06-01,United Kingdom
2-s2.0-85098508664,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-06-01,Slovakia
2-s2.0-85087300805,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-06-01,Estonia
2-s2.0-85085918039,103,"AI Law, Ethics & Human Rights",0.95,Africa & Middle East,pre_chatgpt,2021-06-01,South Africa
2-s2.0-85084140084,15,Predictive Policing & Criminal Justice AI,0.8,Europe,pre_chatgpt,2021-06-01,Netherlands
2-s2.0-85071647714,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-06-01,Ireland
2-s2.0-85111521516,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-05-27,Germany
2-s2.0-85161703102,103,"AI Law, Ethics & Human Rights",0.95,Latin America,pre_chatgpt,2021-05-23,Brazil
2-s2.0-85125544228,15,Predictive Policing & Criminal Justice AI,0.8,North America,pre_chatgpt,2021-05-01,United States
2-s2.0-85117955391,124,AI Research Landscape (Bibliometrics),0.5,Asia-Pacific,pre_chatgpt,2021-05-01,India
2-s2.0-85105675938,151,AI Governance during COVID-19,0.6,Europe,pre_chatgpt,2021-05-01,United Kingdom
2-s2.0-85103551874,124,AI Research Landscape (Bibliometrics),0.5,Europe,pre_chatgpt,2021-05-01,Norway
2-s2.0-85100045147,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-05-01,Hong Kong
2-s2.0-85096577013,124,AI Research Landscape (Bibliometrics),0.5,Europe,pre_chatgpt,2021-05-01,United Kingdom
2-s2.0-85126460098,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-04-01,Italy
2-s2.0-85104366901,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-04-01,Canada
2-s2.0-85103198607,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-04-01,Lithuania
2-s2.0-85101742680,124,AI Research Landscape (Bibliometrics),0.5,Asia-Pacific,pre_chatgpt,2021-04-01,China
2-s2.0-85099553088,114,Generative AI & Creative Ethics,0.65,Europe,pre_chatgpt,2021-04-01,United Kingdom
2-s2.0-85095679984,15,Predictive Policing & Criminal Justice AI,0.8,North America,pre_chatgpt,2021-04-01,Canada
2-s2.0-85092271578,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-04-01,United States
2-s2.0-85100222887,31,Algorithmic Fairness & Bias,1.0,Europe,pre_chatgpt,2021-03-05,United Kingdom
2-s2.0-85086091728,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-03-03,Sweden
2-s2.0-85112179134,34,Autonomous Weapons & Military AI,0.9,North America,pre_chatgpt,2021-03-01,United States
2-s2.0-85111886831,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-03-01,South Korea
2-s2.0-85107727785,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-03-01,Estonia
2-s2.0-85107549267,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-03-01,Hong Kong
2-s2.0-85103775275,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-03-01,Russia
2-s2.0-85103119697,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-03-01,Spain
2-s2.0-85103097079,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-03-01,United States
2-s2.0-85102949788,2,AI Cybersecurity & IoT Threats,0.9,Other / Unclassified,pre_chatgpt,2021-03-01,Unknown
2-s2.0-85102286778,148,Smart City & Urban AI Governance,0.7,Africa & Middle East,pre_chatgpt,2021-03-01,Saudi Arabia
2-s2.0-85100908830,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-03-01,Macau
2-s2.0-85098160441,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-03-01,South Korea
2-s2.0-85088859080,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-03-01,Austria
2-s2.0-85088830624,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-03-01,Russia
2-s2.0-85088369854,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-03-01,Spain
2-s2.0-85085899770,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-03-01,United States
2-s2.0-85100911292,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-02-02,Germany
2-s2.0-85114359309,181,AI Patent Law & Intellectual Property,0.55,Europe,pre_chatgpt,2021-02-01,Germany
2-s2.0-85102119748,24,"AI, Fake News & Disinformation",0.8,Asia-Pacific,pre_chatgpt,2021-02-01,Pakistan
2-s2.0-85101561458,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-02-01,Netherlands
2-s2.0-85096790673,124,AI Research Landscape (Bibliometrics),0.5,Europe,pre_chatgpt,2021-02-01,Germany
2-s2.0-85094326890,21,Trust & Trustworthiness in AI,0.8,North America,pre_chatgpt,2021-02-01,United States
2-s2.0-85089445750,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-02-01,United States
2-s2.0-85074026550,24,"AI, Fake News & Disinformation",0.8,Asia-Pacific,pre_chatgpt,2021-02-01,South Korea
2-s2.0-85091022473,114,Generative AI & Creative Ethics,0.65,Asia-Pacific,pre_chatgpt,2021-01-04,South Korea
2-s2.0-85214281179,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Belgium
2-s2.0-85206598084,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-01-01,India
2-s2.0-85183839112,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Poland
2-s2.0-85179935590,2,AI Cybersecurity & IoT Threats,0.9,Africa & Middle East,pre_chatgpt,2021-01-01,Iraq
2-s2.0-85144372983,124,AI Research Landscape (Bibliometrics),0.5,Asia-Pacific,pre_chatgpt,2021-01-01,China
2-s2.0-85142538295,103,"AI Law, Ethics & Human Rights",0.95,Latin America,pre_chatgpt,2021-01-01,Colombia
2-s2.0-85142002095,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,United Kingdom
2-s2.0-85141949266,15,Predictive Policing & Criminal Justice AI,0.8,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85134674917,2,AI Cybersecurity & IoT Threats,0.9,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85132977744,35,Gender Bias & AI Representation,0.9,Asia-Pacific,pre_chatgpt,2021-01-01,Australia
2-s2.0-85131323610,103,"AI Law, Ethics & Human Rights",0.95,Latin America,pre_chatgpt,2021-01-01,Brazil
2-s2.0-85131309655,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-01-01,Italy
2-s2.0-85130389304,151,AI Governance during COVID-19,0.6,Europe,pre_chatgpt,2021-01-01,United Kingdom
2-s2.0-85127578832,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Lithuania
2-s2.0-85127205226,129,AI in Public Administration & Governance,0.9,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85125869202,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-01-01,Russia
2-s2.0-85125843981,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Russia
2-s2.0-85125834773,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85125678968,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85125174770,2,AI Cybersecurity & IoT Threats,0.9,Europe,pre_chatgpt,2021-01-01,Russia
2-s2.0-85124551504,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85124008787,114,Generative AI & Creative Ethics,0.65,Europe,pre_chatgpt,2021-01-01,Finland
2-s2.0-85123593814,42,AI Accessibility & Disability Inclusion,0.5,North America,pre_chatgpt,2021-01-01,Canada
2-s2.0-85123235588,103,"AI Law, Ethics & Human Rights",0.95,Latin America,pre_chatgpt,2021-01-01,Chile
2-s2.0-85122727972,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-01-01,India
2-s2.0-85122442533,15,Predictive Policing & Criminal Justice AI,0.8,Asia-Pacific,pre_chatgpt,2021-01-01,India
2-s2.0-85121912732,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Poland
2-s2.0-85121749269,2,AI Cybersecurity & IoT Threats,0.9,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85121001539,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Russia
2-s2.0-85120636910,103,"AI Law, Ethics & Human Rights",0.95,Africa & Middle East,pre_chatgpt,2021-01-01,South Africa
2-s2.0-85120357710,31,Algorithmic Fairness & Bias,1.0,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85118791529,2,AI Cybersecurity & IoT Threats,0.9,Africa & Middle East,pre_chatgpt,2021-01-01,Nigeria
2-s2.0-85118325442,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-01-01,United Kingdom
2-s2.0-85117594819,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Czechia
2-s2.0-85115969685,42,AI Accessibility & Disability Inclusion,0.5,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85114935976,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-01-01,Germany
2-s2.0-85114665034,135,EU AI Regulation & Regulatory Frameworks,1.0,Other / Unclassified,pre_chatgpt,2021-01-01,Unknown
2-s2.0-85114521963,8,"AI, Journalism & Media",0.7,Europe,pre_chatgpt,2021-01-01,Spain
2-s2.0-85114036078,135,EU AI Regulation & Regulatory Frameworks,1.0,North America,pre_chatgpt,2021-01-01,Canada
2-s2.0-85113216802,129,AI in Public Administration & Governance,0.9,Europe,pre_chatgpt,2021-01-01,Germany
2-s2.0-85111281872,34,Autonomous Weapons & Military AI,0.9,Latin America,pre_chatgpt,2021-01-01,Brazil
2-s2.0-85111040206,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-01-01,Poland
2-s2.0-85110682298,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Luxembourg
2-s2.0-85110534742,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Ukraine
2-s2.0-85110476319,124,AI Research Landscape (Bibliometrics),0.5,Europe,pre_chatgpt,2021-01-01,Turkey
2-s2.0-85110270199,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Russia
2-s2.0-85109098815,129,AI in Public Administration & Governance,0.9,Europe,pre_chatgpt,2021-01-01,Netherlands
2-s2.0-85108155953,129,AI in Public Administration & Governance,0.9,Europe,pre_chatgpt,2021-01-01,Spain
2-s2.0-85107998744,35,Gender Bias & AI Representation,0.9,Europe,pre_chatgpt,2021-01-01,Spain
2-s2.0-85107485201,2,AI Cybersecurity & IoT Threats,0.9,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85106948069,129,AI in Public Administration & Governance,0.9,Europe,pre_chatgpt,2021-01-01,Portugal
2-s2.0-85106738430,103,"AI Law, Ethics & Human Rights",0.95,Latin America,pre_chatgpt,2021-01-01,Brazil
2-s2.0-85106635305,114,Generative AI & Creative Ethics,0.65,Asia-Pacific,pre_chatgpt,2021-01-01,China
2-s2.0-85106037207,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-01-01,India
2-s2.0-85105370248,2,AI Cybersecurity & IoT Threats,0.9,Europe,pre_chatgpt,2021-01-01,Ireland
2-s2.0-85105203593,8,"AI, Journalism & Media",0.7,Asia-Pacific,pre_chatgpt,2021-01-01,China
2-s2.0-85104972102,8,"AI, Journalism & Media",0.7,Europe,pre_chatgpt,2021-01-01,Spain
2-s2.0-85104817826,31,Algorithmic Fairness & Bias,1.0,Europe,pre_chatgpt,2021-01-01,Hungary
2-s2.0-85104769367,151,AI Governance during COVID-19,0.6,Asia-Pacific,pre_chatgpt,2021-01-01,China
2-s2.0-85103641178,124,AI Research Landscape (Bibliometrics),0.5,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85103513433,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Germany
2-s2.0-85103387228,114,Generative AI & Creative Ethics,0.65,Europe,pre_chatgpt,2021-01-01,Poland
2-s2.0-85103332578,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-01-01,United Kingdom
2-s2.0-85103299252,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-01-01,India
2-s2.0-85102996340,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-01-01,Belgium
2-s2.0-85102854269,15,Predictive Policing & Criminal Justice AI,0.8,Europe,pre_chatgpt,2021-01-01,Germany
2-s2.0-85102178601,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,United Kingdom
2-s2.0-85101623500,17,AI Ethics from Islamic/Religious Perspective,0.5,Europe,pre_chatgpt,2021-01-01,Netherlands
2-s2.0-85101002146,2,AI Cybersecurity & IoT Threats,0.9,Europe,pre_chatgpt,2021-01-01,Ireland
2-s2.0-85100935149,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-01-01,China
2-s2.0-85100711658,151,AI Governance during COVID-19,0.6,Africa & Middle East,pre_chatgpt,2021-01-01,Saudi Arabia
2-s2.0-85100479610,17,AI Ethics from Islamic/Religious Perspective,0.5,Asia-Pacific,pre_chatgpt,2021-01-01,South Korea
2-s2.0-85100394690,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Belgium
2-s2.0-85100250856,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-01-01,Poland
2-s2.0-85099601409,8,"AI, Journalism & Media",0.7,Europe,pre_chatgpt,2021-01-01,Spain
2-s2.0-85099076193,103,"AI Law, Ethics & Human Rights",0.95,Africa & Middle East,pre_chatgpt,2021-01-01,Qatar
2-s2.0-85098878090,15,Predictive Policing & Criminal Justice AI,0.8,Europe,pre_chatgpt,2021-01-01,Spain
2-s2.0-85096775490,124,AI Research Landscape (Bibliometrics),0.5,Europe,pre_chatgpt,2021-01-01,Greece
2-s2.0-85094630811,2,AI Cybersecurity & IoT Threats,0.9,North America,pre_chatgpt,2021-01-01,Canada
2-s2.0-85092219169,21,Trust & Trustworthiness in AI,0.8,Asia-Pacific,pre_chatgpt,2021-01-01,Japan
2-s2.0-85090935653,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-01-01,India
2-s2.0-85089697633,21,Trust & Trustworthiness in AI,0.8,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85089529537,15,Predictive Policing & Criminal Justice AI,0.8,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85087112163,15,Predictive Policing & Criminal Justice AI,0.8,Latin America,pre_chatgpt,2021-01-01,Chile
2-s2.0-85084480398,124,AI Research Landscape (Bibliometrics),0.5,Latin America,pre_chatgpt,2021-01-01,Brazil
2-s2.0-85059508983,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-01-01,United States
2-s2.0-85098173595,114,Generative AI & Creative Ethics,0.65,Europe,pre_chatgpt,2020-12-17,United Kingdom
2-s2.0-85097385934,151,AI Governance during COVID-19,0.6,North America,pre_chatgpt,2020-12-11,United States
2-s2.0-85098134433,21,Trust & Trustworthiness in AI,0.8,Europe,pre_chatgpt,2020-12-03,Finland
2-s2.0-85098329365,2,AI Cybersecurity & IoT Threats,0.9,Europe,pre_chatgpt,2020-12-02,Ireland
2-s2.0-85125396733,2,AI Cybersecurity & IoT Threats,0.9,Africa & Middle East,pre_chatgpt,2020-12-01,Qatar
