region,topic_id,count,total,proportion,topic_words
Latin America,14,1,1311,0.0008,"music, musical, audio, education, teaching, creative, artificial, intelligence, learning, feature"
Latin America,15,10,1311,0.0076,"crime, violence, police, offender, sexual, abuse, criminal, predictive, prediction, risk"
Latin America,16,3,1311,0.0023,"text, language, document, word, corpus, classification, semantic, processing, arabic, news"
Latin America,17,1,1311,0.0008,"religious, islamic, religion, spiritual, intelligence, human, artificial intelligence, artificial, ethical, technology"
Latin America,18,3,1311,0.0023,"entrepreneurial, entrepreneurship, entrepreneur, intention, business, ecosystem, digital, innovation, social, student"
Latin America,19,2,1311,0.0015,"price, market, return, investor, volatility, asset, trading, lstm, forecasting, investment"
Latin America,20,6,1311,0.0046,"eeg, seizure, signal, eeg signal, brain, feature, epilepsy, classification, accuracy, electroencephalography"
Latin America,22,2,1311,0.0015,"poverty, household, conflict, income, migration, estimate, machine learning, machine, wealth, satellite"
Latin America,23,2,1311,0.0015,"sequence, bacterial, antibiotic, ca, dna, genome, resistance, gene, protein, bacteria"
Latin America,24,4,1311,0.0031,"fake, news, fake news, social, social medium, twitter, medium, bot, tweet, user"
Latin America,25,1,1311,0.0008,"cell, microscopy, image, tissue, imaging, cellular, raman, phenotype, morphology, single"
Latin America,26,2,1311,0.0015,"quantum, quantum computing, classical, computing, machine, learning, machine learning, entanglement, computer, algorithm"
Latin America,27,1,1311,0.0008,"ghz, band, channel, design, frequency, gain, bandwidth, wireless, communication, simulation"
Latin America,28,5,1311,0.0038,"sex, age, dental, forensic, skeletal, estimation, image, age estimation, teeth, accuracy"
Latin America,29,3,1311,0.0023,"sleep, sleep quality, anxiety, wake, patient, symptom, disorder, stage, disturbance, quality"
Latin America,31,2,1311,0.0015,"fairness, bias, fair, algorithmic, discrimination, decision, metric, algorithm, unfair, perception"
Latin America,32,2,1311,0.0015,"blockchain, blockchain technology, technology, chain, accounting, supply chain, decentralized, secure, supply, artificial intelligence"
Latin America,33,1,1311,0.0008,"customer, chatbots, assistant, user, chatbot, voice, consumer, satisfaction, service, intention"
Latin America,34,3,1311,0.0023,"military, weapon, war, autonomous, international, warfare, autonomous weapon, state, intelligence, security"
Latin America,36,2,1311,0.0015,"personality, trait, personality trait, psychological, social, machine learning, machine, agreeableness, conscientiousness, social medium"
Latin America,38,7,1311,0.0053,"malaria, disease, outbreak, vector, parasite, public health, machine, specie, control, health"
Latin America,40,1,1311,0.0008,"dental, dentistry, student, education, clinical, diagnostic, oral, intelligence, artificial intelligence, group"
Latin America,42,4,1311,0.0031,"disability, disabled, people, student disability, education, special, student, inclusive, accessibility, teacher"
Latin America,43,2,1311,0.0015,"network, sensor, edge, iot, node, wireless, wireless sensor, computing, device, latency"
Latin America,45,1,1311,0.0008,"tumor, brain, mri, image, imaging, segmentation, feature, resonance, magnetic resonance, classification"
North America,0,3265,6954,0.4695,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
North America,1,243,6954,0.0349,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding"
North America,2,54,6954,0.0078,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
North America,3,26,6954,0.0037,"tourism, tourist, hospitality, hotel, service, industry, destination, tourism industry, customer, experience"
North America,4,40,6954,0.0058,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning"
North America,5,50,6954,0.0072,"speech, hearing, language, voice, recognition, sound, child, acoustic, feature, sign language"
North America,6,23,6954,0.0033,"sport, player, game, football, team, performance, training, match, physical, injury"
North America,7,43,6954,0.0062,"adhd, autism, disorder, child, diagnosis, spectrum, symptom, diagnostic, feature, individual"
North America,8,24,6954,0.0035,"journalism, news, journalist, medium, journalistic, content, artificial intelligence, artificial, intelligence, news medium"
North America,9,32,6954,0.0046,"library, academic library, service, academic, information, technology, li, university, artificial intelligence, intelligence"
North America,10,27,6954,0.0039,"retinal, eye, image, disease, patient, visual, screening, diagnosis, accuracy, clinical"
North America,11,23,6954,0.0033,"price, housing, estate, real estate, valuation, real, property, market, house, appraisal"
North America,12,18,6954,0.0026,"image, video, recognition, object, face, network, deep, feature, learning, neural"
North America,13,20,6954,0.0029,"heritage, cultural, cultural heritage, archaeological, ancient, site, archaeology, bone, preservation, image"
North America,14,18,6954,0.0026,"music, musical, audio, education, teaching, creative, artificial, intelligence, learning, feature"
North America,15,46,6954,0.0066,"crime, violence, police, offender, sexual, abuse, criminal, predictive, prediction, risk"
North America,16,15,6954,0.0022,"text, language, document, word, corpus, classification, semantic, processing, arabic, news"
North America,17,25,6954,0.0036,"religious, islamic, religion, spiritual, intelligence, human, artificial intelligence, artificial, ethical, technology"
North America,18,15,6954,0.0022,"entrepreneurial, entrepreneurship, entrepreneur, intention, business, ecosystem, digital, innovation, social, student"
North America,19,10,6954,0.0014,"price, market, return, investor, volatility, asset, trading, lstm, forecasting, investment"
North America,20,18,6954,0.0026,"eeg, seizure, signal, eeg signal, brain, feature, epilepsy, classification, accuracy, electroencephalography"
North America,21,23,6954,0.0033,"trust, trustworthiness, human, user, fear, trustworthy, perceived, intelligence, technology, artificial intelligence"
North America,22,22,6954,0.0032,"poverty, household, conflict, income, migration, estimate, machine learning, machine, wealth, satellite"
North America,23,35,6954,0.005,"sequence, bacterial, antibiotic, ca, dna, genome, resistance, gene, protein, bacteria"
North America,24,8,6954,0.0012,"fake, news, fake news, social, social medium, twitter, medium, bot, tweet, user"
North America,25,33,6954,0.0047,"cell, microscopy, image, tissue, imaging, cellular, raman, phenotype, morphology, single"
North America,26,29,6954,0.0042,"quantum, quantum computing, classical, computing, machine, learning, machine learning, entanglement, computer, algorithm"
North America,27,3,6954,0.0004,"ghz, band, channel, design, frequency, gain, bandwidth, wireless, communication, simulation"
North America,28,5,6954,0.0007,"sex, age, dental, forensic, skeletal, estimation, image, age estimation, teeth, accuracy"
North America,29,18,6954,0.0026,"sleep, sleep quality, anxiety, wake, patient, symptom, disorder, stage, disturbance, quality"
North America,30,3,6954,0.0004,"translation, translator, language, machine translation, arabic, translate, text, english, google translate, literary"
North America,31,30,6954,0.0043,"fairness, bias, fair, algorithmic, discrimination, decision, metric, algorithm, unfair, perception"
North America,32,9,6954,0.0013,"blockchain, blockchain technology, technology, chain, accounting, supply chain, decentralized, secure, supply, artificial intelligence"
North America,33,13,6954,0.0019,"customer, chatbots, assistant, user, chatbot, voice, consumer, satisfaction, service, intention"
North America,34,19,6954,0.0027,"military, weapon, war, autonomous, international, warfare, autonomous weapon, state, intelligence, security"
North America,35,13,6954,0.0019,"gender, bias, stereotype, woman, gender bias, female, gendered, male, representation, artificial"
North America,36,19,6954,0.0027,"personality, trait, personality trait, psychological, social, machine learning, machine, agreeableness, conscientiousness, social medium"
North America,37,32,6954,0.0046,"causal, effect, treatment effect, treatment, estimator, inference, estimate, causal inference, estimation, machine learning"
North America,38,9,6954,0.0013,"malaria, disease, outbreak, vector, parasite, public health, machine, specie, control, health"
North America,39,9,6954,0.0013,"drug, solvent, inf, sup, formulation, pharmaceutical, regression, temperature, inf inf, sup sup"
North America,40,10,6954,0.0014,"dental, dentistry, student, education, clinical, diagnostic, oral, intelligence, artificial intelligence, group"
North America,41,5,6954,0.0007,"patent, technology, convergence, technological, trademark, promising technology, promising, search, firm, citation"
North America,42,17,6954,0.0024,"disability, disabled, people, student disability, education, special, student, inclusive, accessibility, teacher"
North America,43,4,6954,0.0006,"network, sensor, edge, iot, node, wireless, wireless sensor, computing, device, latency"
North America,44,8,6954,0.0012,"optical, design, sensor, sup, modulation, device, fiber, graphene, refractive, refractive index"
North America,45,5,6954,0.0007,"tumor, brain, mri, image, imaging, segmentation, feature, resonance, magnetic resonance, classification"
Other / Unclassified,0,369,689,0.5356,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
Other / Unclassified,1,3,689,0.0044,"drug, protein, molecular, compound, inf, molecule, structure, property, chemical, binding"
Other / Unclassified,2,10,689,0.0145,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
Other / Unclassified,3,5,689,0.0073,"tourism, tourist, hospitality, hotel, service, industry, destination, tourism industry, customer, experience"
Other / Unclassified,4,2,689,0.0029,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning"
Other / Unclassified,5,3,689,0.0044,"speech, hearing, language, voice, recognition, sound, child, acoustic, feature, sign language"
Other / Unclassified,6,5,689,0.0073,"sport, player, game, football, team, performance, training, match, physical, injury"
Other / Unclassified,8,4,689,0.0058,"journalism, news, journalist, medium, journalistic, content, artificial intelligence, artificial, intelligence, news medium"
Other / Unclassified,9,2,689,0.0029,"library, academic library, service, academic, information, technology, li, university, artificial intelligence, intelligence"
Other / Unclassified,10,2,689,0.0029,"retinal, eye, image, disease, patient, visual, screening, diagnosis, accuracy, clinical"
Other / Unclassified,11,1,689,0.0015,"price, housing, estate, real estate, valuation, real, property, market, house, appraisal"
Other / Unclassified,12,7,689,0.0102,"image, video, recognition, object, face, network, deep, feature, learning, neural"
Other / Unclassified,13,3,689,0.0044,"heritage, cultural, cultural heritage, archaeological, ancient, site, archaeology, bone, preservation, image"
Other / Unclassified,14,6,689,0.0087,"music, musical, audio, education, teaching, creative, artificial, intelligence, learning, feature"
Other / Unclassified,16,4,689,0.0058,"text, language, document, word, corpus, classification, semantic, processing, arabic, news"
Other / Unclassified,17,9,689,0.0131,"religious, islamic, religion, spiritual, intelligence, human, artificial intelligence, artificial, ethical, technology"
Other / Unclassified,18,2,689,0.0029,"entrepreneurial, entrepreneurship, entrepreneur, intention, business, ecosystem, digital, innovation, social, student"
Other / Unclassified,19,1,689,0.0015,"price, market, return, investor, volatility, asset, trading, lstm, forecasting, investment"
Other / Unclassified,20,2,689,0.0029,"eeg, seizure, signal, eeg signal, brain, feature, epilepsy, classification, accuracy, electroencephalography"
Other / Unclassified,21,1,689,0.0015,"trust, trustworthiness, human, user, fear, trustworthy, perceived, intelligence, technology, artificial intelligence"
Other / Unclassified,22,1,689,0.0015,"poverty, household, conflict, income, migration, estimate, machine learning, machine, wealth, satellite"
Other / Unclassified,24,2,689,0.0029,"fake, news, fake news, social, social medium, twitter, medium, bot, tweet, user"
Other / Unclassified,25,1,689,0.0015,"cell, microscopy, image, tissue, imaging, cellular, raman, phenotype, morphology, single"
Other / Unclassified,26,1,689,0.0015,"quantum, quantum computing, classical, computing, machine, learning, machine learning, entanglement, computer, algorithm"
Other / Unclassified,27,3,689,0.0044,"ghz, band, channel, design, frequency, gain, bandwidth, wireless, communication, simulation"
Other / Unclassified,30,2,689,0.0029,"translation, translator, language, machine translation, arabic, translate, text, english, google translate, literary"
Other / Unclassified,31,2,689,0.0029,"fairness, bias, fair, algorithmic, discrimination, decision, metric, algorithm, unfair, perception"
