scopus_id,topic_id_finetuned,topic_label_finetuned,governance_score,region,period,cover_date,country
2-s2.0-85122759724,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Australia
2-s2.0-85122629966,2,AI Cybersecurity & IoT Threats,0.9,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85122625012,-1,,,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85122537958,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,Latin America,pre_chatgpt,2021-12-01,Brazil
2-s2.0-85122527128,-1,,,Europe,pre_chatgpt,2021-12-01,France
2-s2.0-85122507826,115,"Topic0_Sub_115: software, machine learning, learning, machine, feature, algo",0.1,Europe,pre_chatgpt,2021-12-01,Italy
2-s2.0-85122503500,-1,,,Europe,pre_chatgpt,2021-12-01,Germany
2-s2.0-85122267735,-1,,,Europe,pre_chatgpt,2021-12-01,Russia
2-s2.0-85122238687,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85122178923,100,"Topic0_Sub_100: student, education, teacher, educational, teaching, learning",0.1,Europe,pre_chatgpt,2021-12-01,Spain
2-s2.0-85122062775,135,EU AI Regulation & Regulatory Frameworks,1.0,Europe,pre_chatgpt,2021-12-01,Norway
2-s2.0-85122061406,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85122039774,21,Trust & Trustworthiness in AI,0.8,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85122030633,113,"Topic0_Sub_113: cancer, breast, breast cancer, tumor, patient, gene, surviva",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85122021975,119,"Topic0_Sub_119: depression, anxiety, disorder, treatment, symptom, mental, h",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,Australia
2-s2.0-85122021724,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85122019990,5,Speech & Language Recognition,0.1,Asia-Pacific,pre_chatgpt,2021-12-01,South Korea
2-s2.0-85122019812,-1,,,Europe,pre_chatgpt,2021-12-01,Switzerland
2-s2.0-85122019335,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,Europe,pre_chatgpt,2021-12-01,Germany
2-s2.0-85122019126,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85122016448,102,"Topic0_Sub_102: crop, food, yield, agricultural, plant, agriculture, machine",0.1,Europe,pre_chatgpt,2021-12-01,Finland
2-s2.0-85122008092,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85122001618,1,Drug Discovery & Molecular AI,0.0,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85122001504,1,Drug Discovery & Molecular AI,0.0,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121999581,117,"Topic0_Sub_117: inf, air, inf inf, pollution, air quality, air pollution, co",0.1,Europe,pre_chatgpt,2021-12-01,Italy
2-s2.0-85121990508,105,"Topic0_Sub_105: employee, chain, supply chain, supply, job, organizational, ",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,Australia
2-s2.0-85121734898,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121686847,103,"AI Law, Ethics & Human Rights",0.95,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121679470,135,EU AI Regulation & Regulatory Frameworks,1.0,Asia-Pacific,pre_chatgpt,2021-12-01,Australia
2-s2.0-85121673478,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121667088,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121627453,103,"AI Law, Ethics & Human Rights",0.95,Asia-Pacific,pre_chatgpt,2021-12-01,Malaysia
2-s2.0-85121588348,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,India
2-s2.0-85121586474,109,"Topic0_Sub_109: soil, sup, forest, land, inf, sup sup, vegetation, accuracy,",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121585150,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121582709,140,"Topic0_Sub_140: ship, port, vessel, maritime, container, fuel, fuel consumpt",0.1,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85121546283,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Japan
2-s2.0-85121538657,107,"Topic0_Sub_107: water, flood, water quality, groundwater, sup, river, qualit",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121530173,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85121525043,130,"Topic0_Sub_130: fracture, osteoporosis, patient, bone, knee, implant, image,",0.1,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85121516552,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85121509183,121,"Topic0_Sub_121: process, machining, manufacturing, parameter, laser, printin",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,South Korea
2-s2.0-85121508934,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,India
2-s2.0-85121486671,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121470446,-1,,,Europe,pre_chatgpt,2021-12-01,Finland
2-s2.0-85121462697,107,"Topic0_Sub_107: water, flood, water quality, groundwater, sup, river, qualit",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85121462689,-1,,,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85121461448,107,"Topic0_Sub_107: water, flood, water quality, groundwater, sup, river, qualit",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85121459029,158,"Topic0_Sub_158: pipe, leak, pipeline, leakage, water, sewer, failure, networ",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,South Korea
2-s2.0-85121452163,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Singapore
2-s2.0-85121435760,107,"Topic0_Sub_107: water, flood, water quality, groundwater, sup, river, qualit",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85121426070,158,"Topic0_Sub_158: pipe, leak, pipeline, leakage, water, sewer, failure, networ",0.1,Europe,pre_chatgpt,2021-12-01,France
2-s2.0-85121399133,120,"Topic0_Sub_120: maintenance, fault, manufacturing, production, industrial, p",0.1,Europe,pre_chatgpt,2021-12-01,Italy
2-s2.0-85121393899,102,"Topic0_Sub_102: crop, food, yield, agricultural, plant, agriculture, machine",0.1,Europe,pre_chatgpt,2021-12-01,Romania
2-s2.0-85121385488,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85121374297,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,India
2-s2.0-85121364160,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Japan
2-s2.0-85121363038,102,"Topic0_Sub_102: crop, food, yield, agricultural, plant, agriculture, machine",0.1,Europe,pre_chatgpt,2021-12-01,Poland
2-s2.0-85121297946,134,"Topic0_Sub_134: wildfire, forest, area, rcp, risk, detection, occurrence, fa",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85121286961,162,"Topic0_Sub_162: pregnancy, infertility, reproductive, clinical, couple, vitr",0.1,Europe,pre_chatgpt,2021-12-01,France
2-s2.0-85121267850,-1,,,Europe,pre_chatgpt,2021-12-01,Greece
2-s2.0-85121257834,109,"Topic0_Sub_109: soil, sup, forest, land, inf, sup sup, vegetation, accuracy,",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,India
2-s2.0-85121254472,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,India
2-s2.0-85121227910,102,"Topic0_Sub_102: crop, food, yield, agricultural, plant, agriculture, machine",0.1,Latin America,pre_chatgpt,2021-12-01,Peru
2-s2.0-85121099180,5,Speech & Language Recognition,0.1,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85121055366,112,"Topic0_Sub_112: energy, power, solar, building, consumption, electricity, gr",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,Malaysia
2-s2.0-85121045368,-1,,,Europe,pre_chatgpt,2021-12-01,Sweden
2-s2.0-85121042913,-1,,,Europe,pre_chatgpt,2021-12-01,Ireland
2-s2.0-85121035802,39,AI in Pharmaceutical Formulation,0.0,Asia-Pacific,pre_chatgpt,2021-12-01,Macau
2-s2.0-85121025138,-1,,,Europe,pre_chatgpt,2021-12-01,Sweden
2-s2.0-85121003652,118,"Topic0_Sub_118: concrete, strength, compressive, compressive strength, cemen",0.1,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85121002159,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Japan
2-s2.0-85120992770,-1,,,Europe,pre_chatgpt,2021-12-01,Cyprus
2-s2.0-85120987613,107,"Topic0_Sub_107: water, flood, water quality, groundwater, sup, river, qualit",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,Pakistan
2-s2.0-85120973383,105,"Topic0_Sub_105: employee, chain, supply chain, supply, job, organizational, ",0.1,Europe,pre_chatgpt,2021-12-01,Switzerland
2-s2.0-85120967046,106,"Topic0_Sub_106: green, environmental, energy, esg, sustainable, sustainabili",0.1,Latin America,pre_chatgpt,2021-12-01,Brazil
2-s2.0-85120948822,-1,,,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85120946149,-1,,,Europe,pre_chatgpt,2021-12-01,Poland
2-s2.0-85120945045,1,Drug Discovery & Molecular AI,0.0,Europe,pre_chatgpt,2021-12-01,Portugal
2-s2.0-85120941189,100,"Topic0_Sub_100: student, education, teacher, educational, teaching, learning",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85120935700,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,Europe,pre_chatgpt,2021-12-01,Greece
2-s2.0-85120935477,107,"Topic0_Sub_107: water, flood, water quality, groundwater, sup, river, qualit",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85120933426,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Japan
2-s2.0-85120932547,-1,,,Europe,pre_chatgpt,2021-12-01,Russia
2-s2.0-85120919552,-1,,,Africa & Middle East,pre_chatgpt,2021-12-01,Saudi Arabia
2-s2.0-85120917961,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,South Korea
2-s2.0-85120912293,-1,,,Africa & Middle East,pre_chatgpt,2021-12-01,Iran
2-s2.0-85120906422,-1,,,Europe,pre_chatgpt,2021-12-01,Belgium
2-s2.0-85120898212,-1,,,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85120893150,105,"Topic0_Sub_105: employee, chain, supply chain, supply, job, organizational, ",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85120888029,107,"Topic0_Sub_107: water, flood, water quality, groundwater, sup, river, qualit",0.1,Africa & Middle East,pre_chatgpt,2021-12-01,Ethiopia
2-s2.0-85120864133,-1,,,Africa & Middle East,pre_chatgpt,2021-12-01,Iran
2-s2.0-85120854632,1,Drug Discovery & Molecular AI,0.0,Asia-Pacific,pre_chatgpt,2021-12-01,Japan
2-s2.0-85120846970,-1,,,Europe,pre_chatgpt,2021-12-01,Spain
2-s2.0-85120818400,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85120801884,111,"Topic0_Sub_111: traffic, crash, road, vehicle, accident, travel, transportat",0.1,Europe,pre_chatgpt,2021-12-01,Romania
2-s2.0-85120782144,-1,,,Latin America,pre_chatgpt,2021-12-01,Mexico
2-s2.0-85120773277,107,"Topic0_Sub_107: water, flood, water quality, groundwater, sup, river, qualit",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85120737882,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,India
2-s2.0-85120732435,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Malaysia
2-s2.0-85120681117,43,Edge Computing & IoT Networks,0.3,Africa & Middle East,pre_chatgpt,2021-12-01,Saudi Arabia
2-s2.0-85120609557,130,"Topic0_Sub_130: fracture, osteoporosis, patient, bone, knee, implant, image,",0.1,Europe,pre_chatgpt,2021-12-01,Germany
2-s2.0-85120584644,104,"Topic0_Sub_104: stock, market, financial, return, credit, price, fraud, port",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,Australia
2-s2.0-85120502791,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85120419724,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,South Korea
2-s2.0-85120417567,-1,,,Europe,pre_chatgpt,2021-12-01,Russia
2-s2.0-85120383041,111,"Topic0_Sub_111: traffic, crash, road, vehicle, accident, travel, transportat",0.1,Africa & Middle East,pre_chatgpt,2021-12-01,Qatar
2-s2.0-85120333350,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85120309776,112,"Topic0_Sub_112: energy, power, solar, building, consumption, electricity, gr",0.1,Europe,pre_chatgpt,2021-12-01,Italy
2-s2.0-85120166219,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85120158151,107,"Topic0_Sub_107: water, flood, water quality, groundwater, sup, river, qualit",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85120072941,28,AI in Forensic & Dental Analysis,0.0,Asia-Pacific,pre_chatgpt,2021-12-01,South Korea
2-s2.0-85120047021,137,"Topic0_Sub_137: seismic, earthquake, slope, damage, motion, building, slope ",0.1,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85119983853,108,"Topic0_Sub_108: medical, healthcare, health, care, patient, medicine, clinic",0.1,Europe,pre_chatgpt,2021-12-01,Netherlands
2-s2.0-85119977048,-1,,,Europe,pre_chatgpt,2021-12-01,Russia
2-s2.0-85119974107,107,"Topic0_Sub_107: water, flood, water quality, groundwater, sup, river, qualit",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85119966676,11,AI in Real Estate Valuation,0.2,Asia-Pacific,pre_chatgpt,2021-12-01,South Korea
2-s2.0-85119881437,-1,,,Africa & Middle East,pre_chatgpt,2021-12-01,Egypt
2-s2.0-85119879998,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85119871079,105,"Topic0_Sub_105: employee, chain, supply chain, supply, job, organizational, ",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,Australia
2-s2.0-85119867126,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85119854381,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Australia
2-s2.0-85119849854,104,"Topic0_Sub_104: stock, market, financial, return, credit, price, fraud, port",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85119847007,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,Latin America,pre_chatgpt,2021-12-01,Argentina
2-s2.0-85119841842,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85119675901,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Japan
2-s2.0-85119663935,6,AI in Sports & Performance,0.0,Europe,pre_chatgpt,2021-12-01,Ireland
2-s2.0-85119511452,-1,,,Latin America,pre_chatgpt,2021-12-01,Brazil
2-s2.0-85119473963,123,"Topic0_Sub_123: birth, maternal, woman, pregnancy, child, infant, health, ri",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,Japan
2-s2.0-85119381211,-1,,,Africa & Middle East,pre_chatgpt,2021-12-01,Oman
2-s2.0-85119365336,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Australia
2-s2.0-85119328959,127,"Topic0_Sub_127: urban, lst, heat, uhi, temperature, urban heat, land, therma",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,Malaysia
2-s2.0-85119292376,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85119286162,22,AI for Poverty & Development (Global South),0.4,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85119273296,117,"Topic0_Sub_117: inf, air, inf inf, pollution, air quality, air pollution, co",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,India
2-s2.0-85119202363,102,"Topic0_Sub_102: crop, food, yield, agricultural, plant, agriculture, machine",0.1,Europe,pre_chatgpt,2021-12-01,Germany
2-s2.0-85119137874,123,"Topic0_Sub_123: birth, maternal, woman, pregnancy, child, infant, health, ri",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,South Korea
2-s2.0-85119115220,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,Europe,pre_chatgpt,2021-12-01,Austria
2-s2.0-85119086442,-1,,,Europe,pre_chatgpt,2021-12-01,Portugal
2-s2.0-85119056125,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85119048332,-1,,,Europe,pre_chatgpt,2021-12-01,Norway
2-s2.0-85119047781,-1,,,Latin America,pre_chatgpt,2021-12-01,Brazil
2-s2.0-85119043576,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85119011871,114,Generative AI & Creative Ethics,0.65,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85119007473,104,"Topic0_Sub_104: stock, market, financial, return, credit, price, fraud, port",0.1,Europe,pre_chatgpt,2021-12-01,Germany
2-s2.0-85118995726,12,Computer Vision & Face Recognition,0.3,Other / Unclassified,pre_chatgpt,2021-12-01,Unknown
2-s2.0-85118867710,106,"Topic0_Sub_106: green, environmental, energy, esg, sustainable, sustainabili",0.1,Europe,pre_chatgpt,2021-12-01,Italy
2-s2.0-85118688706,-1,,,Africa & Middle East,pre_chatgpt,2021-12-01,Iran
2-s2.0-85118683999,4,Sentiment & Emotion Analysis,0.3,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85118670674,-1,,,Europe,pre_chatgpt,2021-12-01,France
2-s2.0-85118656869,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85118645830,38,AI in Epidemiology & Public Health,0.3,Asia-Pacific,pre_chatgpt,2021-12-01,South Korea
2-s2.0-85118634011,1,Drug Discovery & Molecular AI,0.0,Africa & Middle East,pre_chatgpt,2021-12-01,Saudi Arabia
2-s2.0-85118608412,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85118601395,2,AI Cybersecurity & IoT Threats,0.9,Asia-Pacific,pre_chatgpt,2021-12-01,Indonesia
2-s2.0-85118581122,1,Drug Discovery & Molecular AI,0.0,Europe,pre_chatgpt,2021-12-01,Germany
2-s2.0-85118574467,104,"Topic0_Sub_104: stock, market, financial, return, credit, price, fraud, port",0.1,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85118557335,-1,,,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85118551065,-1,,,North America,pre_chatgpt,2021-12-01,Canada
2-s2.0-85118472514,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85118458334,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,China
2-s2.0-85118453666,38,AI in Epidemiology & Public Health,0.3,Europe,pre_chatgpt,2021-12-01,France
2-s2.0-85118443423,-1,,,North America,pre_chatgpt,2021-12-01,Canada
2-s2.0-85118405418,100,"Topic0_Sub_100: student, education, teacher, educational, teaching, learning",0.1,Europe,pre_chatgpt,2021-12-01,Spain
2-s2.0-85118385488,172,"Topic0_Sub_172: weather, forecast, nwp, climate, weather prediction, weather",0.1,Europe,pre_chatgpt,2021-12-01,Norway
2-s2.0-85118336356,101,"Topic0_Sub_101: patient, disease, covid, clinical, risk, mortality, heart, d",0.1,Europe,pre_chatgpt,2021-12-01,Italy
2-s2.0-85118264112,4,Sentiment & Emotion Analysis,0.3,Africa & Middle East,pre_chatgpt,2021-12-01,Uganda
2-s2.0-85118207795,-1,,,Europe,pre_chatgpt,2021-12-01,Netherlands
2-s2.0-85118172294,102,"Topic0_Sub_102: crop, food, yield, agricultural, plant, agriculture, machine",0.1,Latin America,pre_chatgpt,2021-12-01,Brazil
2-s2.0-85118151573,108,"Topic0_Sub_108: medical, healthcare, health, care, patient, medicine, clinic",0.1,Europe,pre_chatgpt,2021-12-01,Italy
2-s2.0-85117892894,-1,,,Other / Unclassified,pre_chatgpt,2021-12-01,Botswana
2-s2.0-85117882463,100,"Topic0_Sub_100: student, education, teacher, educational, teaching, learning",0.1,North America,pre_chatgpt,2021-12-01,Canada
2-s2.0-85117818232,151,AI Governance during COVID-19,0.6,Europe,pre_chatgpt,2021-12-01,Croatia
2-s2.0-85117786086,15,Predictive Policing & Criminal Justice AI,0.8,North America,pre_chatgpt,2021-12-01,United States
2-s2.0-85117768690,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Australia
2-s2.0-85117734414,-1,,,Asia-Pacific,pre_chatgpt,2021-12-01,Bangladesh
2-s2.0-85117732126,10,AI in Ophthalmology,0.1,Europe,pre_chatgpt,2021-12-01,Switzerland
2-s2.0-85117731246,103,"AI Law, Ethics & Human Rights",0.95,Europe,pre_chatgpt,2021-12-01,Austria
2-s2.0-85117720792,-1,,,Europe,pre_chatgpt,2021-12-01,United Kingdom
2-s2.0-85117711164,-1,,,North America,pre_chatgpt,2021-12-01,United States
